EUR;AUD;1.536500000000
EUR;BGN;1.955800000000
EUR;BRL;3.945300000000
EUR;CAD;1.528900000000
EUR;CHF;1.177900000000
EUR;CNY;7.846600000000
EUR;CZK;25.403000000000
EUR;DKK;7.443500000000
EUR;GBP;0.878300000000
EUR;HKD;9.576000000000
EUR;HRK;7.430600000000
EUR;HUF;310.130000000000
EUR;IDR;16345.000000000000
EUR;ILS;4.187800000000
EUR;INR;78.118000000000
EUR;JPY;135.350000000000
EUR;KRW;1317.800000000000
EUR;MXN;23.062000000000
EUR;MYR;4.815300000000
EUR;NOK;9.638000000000
EUR;NZD;1.672200000000
EUR;PHP;62.501000000000
EUR;PLN;4.169600000000
EUR;RON;4.671000000000
EUR;RUB;69.201000000000
EUR;SEK;9.844300000000
EUR;SGD;1.616200000000
EUR;THB;38.989000000000
EUR;TRY;4.629500000000
EUR;USD;1.224900000000
EUR;ZAR;14.855000000000
AUD;BGN;1.272900000000
AUD;BRL;2.567700000000
AUD;CAD;0.995050000000
AUD;CHF;0.766610000000
AUD;CNY;5.106800000000
AUD;CZK;16.533000000000
AUD;DKK;4.844500000000
AUD;GBP;0.571620000000
AUD;HKD;6.232300000000
AUD;HRK;4.836100000000
AUD;HUF;201.840000000000
AUD;IDR;10638.000000000000
AUD;ILS;2.725500000000
AUD;INR;50.842000000000
AUD;JPY;88.090000000000
AUD;KRW;857.660000000000
AUD;MXN;15.009000000000
AUD;MYR;3.133900000000
AUD;NOK;6.272700000000
AUD;NZD;1.088300000000
AUD;PHP;40.678000000000
AUD;PLN;2.713700000000
AUD;RON;3.040000000000
AUD;RUB;45.038000000000
AUD;SEK;6.407000000000
AUD;SGD;1.051900000000
AUD;THB;25.375000000000
AUD;TRY;3.013000000000
AUD;USD;0.797200000000
AUD;ZAR;9.668100000000
AUD;EUR;0.650830000000
BGN;AUD;0.785610000000
BGN;BRL;2.017200000000
BGN;CAD;0.781730000000
BGN;CHF;0.602260000000
BGN;CNY;4.012000000000
BGN;CZK;12.989000000000
BGN;DKK;3.805900000000
BGN;GBP;0.449070000000
BGN;HKD;4.896200000000
BGN;HRK;3.799300000000
BGN;HUF;158.570000000000
BGN;IDR;8357.200000000000
BGN;ILS;2.141200000000
BGN;INR;39.942000000000
BGN;JPY;69.204000000000
BGN;KRW;673.790000000000
BGN;MXN;11.792000000000
BGN;MYR;2.462100000000
BGN;NOK;4.927900000000
BGN;NZD;0.855000000000
BGN;PHP;31.957000000000
BGN;PLN;2.131900000000
BGN;RON;2.388300000000
BGN;RUB;35.382000000000
BGN;SEK;5.033400000000
BGN;SGD;0.826360000000
BGN;THB;19.935000000000
BGN;TRY;2.367100000000
BGN;USD;0.626290000000
BGN;ZAR;7.595400000000
BGN;EUR;0.511300000000
BRL;AUD;0.389450000000
BRL;BGN;0.495730000000
BRL;CAD;0.387520000000
BRL;CHF;0.298560000000
BRL;CNY;1.988800000000
BRL;CZK;6.438800000000
BRL;DKK;1.886700000000
BRL;GBP;0.222620000000
BRL;HKD;2.427200000000
BRL;HRK;1.883400000000
BRL;HUF;78.607000000000
BRL;IDR;4142.900000000000
BRL;ILS;1.061500000000
BRL;INR;19.800000000000
BRL;JPY;34.307000000000
BRL;KRW;334.020000000000
BRL;MXN;5.845400000000
BRL;MYR;1.220500000000
BRL;NOK;2.442900000000
BRL;NZD;0.423850000000
BRL;PHP;15.842000000000
BRL;PLN;1.056900000000
BRL;RON;1.183900000000
BRL;RUB;17.540000000000
BRL;SEK;2.495200000000
BRL;SGD;0.409650000000
BRL;THB;9.882400000000
BRL;TRY;1.173400000000
BRL;USD;0.310470000000
BRL;ZAR;3.765200000000
BRL;EUR;0.253470000000
CAD;AUD;1.005000000000
CAD;BGN;1.279200000000
CAD;BRL;2.580500000000
CAD;CHF;0.770420000000
CAD;CNY;5.132200000000
CAD;CZK;16.615000000000
CAD;DKK;4.868500000000
CAD;GBP;0.574470000000
CAD;HKD;6.263300000000
CAD;HRK;4.860100000000
CAD;HUF;202.850000000000
CAD;IDR;10691.000000000000
CAD;ILS;2.739100000000
CAD;INR;51.094000000000
CAD;JPY;88.528000000000
CAD;KRW;861.930000000000
CAD;MXN;15.084000000000
CAD;MYR;3.149500000000
CAD;NOK;6.303900000000
CAD;NZD;1.093700000000
CAD;PHP;40.880000000000
CAD;PLN;2.727200000000
CAD;RON;3.055100000000
CAD;RUB;45.262000000000
CAD;SEK;6.438800000000
CAD;SGD;1.057100000000
CAD;THB;25.501000000000
CAD;TRY;3.028000000000
CAD;USD;0.801160000000
CAD;ZAR;9.716100000000
CAD;EUR;0.654070000000
CHF;AUD;1.304400000000
CHF;BGN;1.660400000000
CHF;BRL;3.349400000000
CHF;CAD;1.298000000000
CHF;CNY;6.661500000000
CHF;CZK;21.566000000000
CHF;DKK;6.319300000000
CHF;GBP;0.745650000000
CHF;HKD;8.129700000000
CHF;HRK;6.308300000000
CHF;HUF;263.290000000000
CHF;IDR;13876.000000000000
CHF;ILS;3.555300000000
CHF;INR;66.320000000000
CHF;JPY;114.910000000000
CHF;KRW;1118.800000000000
CHF;MXN;19.579000000000
CHF;MYR;4.088000000000
CHF;NOK;8.182400000000
CHF;NZD;1.419600000000
CHF;PHP;53.061000000000
CHF;PLN;3.539900000000
CHF;RON;3.965500000000
CHF;RUB;58.749000000000
CHF;SEK;8.357500000000
CHF;SGD;1.372100000000
CHF;THB;33.100000000000
CHF;TRY;3.930300000000
CHF;USD;1.039900000000
CHF;ZAR;12.611000000000
CHF;EUR;0.848970000000
CNY;AUD;0.195820000000
